corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Der,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,goldne,ADJA,goldn,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Morgensonnenschein,NN,morgensonnenschein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Fällt,VVFIN,fallen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,in,APPR,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mein,PPOSAT,mein,27072,der_dichter,(0)
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Fenster,NN,fenster,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,klar,ADJD,klar,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,hinein,PTKVZ,hinein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Er,PPER,er,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,fällt,VVFIN,fallen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mir,PPER,sich,27072,der_dichter,(0)
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,grad,ADV,grad,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ins,APPRART,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Angesicht,NN,angesicht,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Ich,PPER,ich,27072,der_dichter,(0)
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,kann,VMFIN,können,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,kaum,ADV,kaum,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sehn,CARD,sehn,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,vor,APPR,vor,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,lauter,PIAT,laut,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Licht,NN,licht,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Von,APPR,von,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,fern,ADJD,fern,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,herüber,PTKVZ,herüber,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,dringt,VVFIN,dringen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Geläut,NE,geläut,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Dran,NE,dran,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,merk,VVFIN,merk,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ich,PPER,ich,27072,der_dichter,(0)
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,daß,KOUS,daß,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,es,PPER,es,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Sonntag,NN,sonntag,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,heut,ADV,heut,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Schon,ADV,schon,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,wandeln,VVFIN,wandeln,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,bei,APPR,bei,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,dem,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,hellen,ADJA,hell,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Klang,NN,klang,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Geputzte,VVFIN,geputzter,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Menschen,NN,mensch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,das,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Tal,NN,tal,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,entlang,APPO,entlang,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Männer,NN,mann,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Weiber,NN,weiber,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Alte,NN,alte,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Junge,NN,junge,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Kinder,NN,kind,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,dazwischen,PROAV,dazwischen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mit,APPR,mit,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,fröhlicher,ADJA,fröhlich,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Zunge,NN,zunge,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,In,APPR,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,reinlichen,ADJA,reinlich,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Händen,NN,hand,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,die,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Andacht-Bücher,NN,andacht-bücher,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Auch,ADV,auch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Blumensträuße,NN,blumenstrauß,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,weiße,ADJA,weiß,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Tücher,NN,tuch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Sie,PPER,sie,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,blicken,VVFIN,blicken,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,alle,PIDAT,alle,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,in,APPR,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,frommem,ADJA,fromm,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Chor,NN,chor,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Zur,APPRART,zu,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ragenden,ADJA,ragend,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Kirche,NN,kirche,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ernst,ADJD,ernst,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,empor,ADJD,empor,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Die,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,winkt,NN,winken,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,vom,APPRART,von,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Berges-Abhang,NN,berges-abhang,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,frei,ADJD,frei,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Mit,APPR,mit,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,offenen,ADJA,offen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Türen,NN,tür,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sie,PPER,sie,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,herbei,VVFIN,herbei,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Sie,PPER,sie,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,klimmen,VVFIN,klimmen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,emsiglich,ADJD,emsiglich,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,hinauf,ADV,hinauf,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Nun,ADV,nun,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,tritt,VVFIN,treten,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,hinein,APZR,hinein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,der,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ganze,ADJA,ganz,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Hauf,NN,hauf,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Nur,ADV,nur,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,einer,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sondert,ADJD,sondern,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,still,ADJD,still,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sich,PRF,sich,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ab,PTKVZ,ab,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Sieh,NE,sieh,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,der,PRELS,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,bekränzt,VVFIN,bekränzen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,frisches,ADJA,frisch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Grab,NN,grab,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Nachdem,KOUS,nachdem,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,er,PPER,er,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Gebet,NN,gebet,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,noch,ADV,noch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sprach,VVFIN,sprechen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Folgt,VVFIN,folgen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,er,PPER,er,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,den,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,andern,ADJD,anderer,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,leise,ADJD,leise,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,nach,PTKVZ,nach,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Indes,ADV,indes,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ist,VAFIN,sein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,das,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Geläut,NN,geläut,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,verhallt,VVFIN,verhallen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,schwellender,ADJA,schwellend,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Gesang,NN,gesang,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,erschallt,VVPP,erschallen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Die,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Sonne,NN,sonne,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,aber,ADV,aber,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,faßt,VVFIN,fassen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,so,ADV,so,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,hold,ADJD,hold,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Das,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Kirchlein,NN,kirchlein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,in,APPR,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,lautres,ADJA,lautr,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Gold,NN,gold,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,alles,PIS,alle,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,was,PRELS,was,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mir,PPER,sich,27072,der_dichter,(0)
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,lieb,VVFIN,leiben,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,wert,ADJD,wert,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Sogar,ADV,sogar,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,die,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Gräber,NN,grab,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sind,VAFIN,sein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,verklärt,VVFIN,verklären,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Zur,APPRART,zu,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,linken,ADJA,linker,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Seite,NN,seite,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,liegt,VVFIN,liegen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Hain,NN,hain,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Der,PRELS,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,schaut,VVFIN,schauen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,noch,ADV,noch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,etwas,ADV,etwas,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,finster,ADJA,finster,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,drein,NN,drein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Der,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,nächtlich-graue,ADJA,nächtlich-grau,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Nebeldampf,NN,nebeldampf,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Ist,VAFIN,sein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,noch,ADV,noch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mit,APPR,mit,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Licht,NN,licht,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Wind,NN,wind,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,im,APPRART,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Kampf,NN,kampf,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Das,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Lied,NN,lied,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,der,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,muntern,ADJA,muntern,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Vögelschar,NN,vögelschar,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Dringt,VVFIN,dringen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,in,APPR,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,die,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Weite,NN,weite,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,hell,ADJD,hell,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,klar,ADJD,klar,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Gott,NN,gott,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,hörts,ADV,hörts,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,zugleich,ADV,zugleich,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mit,APPR,mit,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,dem,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Choral,NN,choral,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Der,PRELS,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,zu,APPR,zu,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ihm,PPER,ihm,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,aufsteigt,VVFIN,aufsteigen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,aus,APPR,aus,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,dem,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Tal,NN,tal,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Reh,NN,reh,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mit,APPR,mit,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,klugen,ADJA,klug,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Augen,NN,auge,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,blickt,VVFIN,blicken,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Ins,APPRART,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,flache,ADJA,flach,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Land,NN,land,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,vor,PTKVZ,vor,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,erschrickt,VVFIN,erschricken,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Und,KON,und,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,weil,KOUS,weil,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,es,PPER,es,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,weder,KON,weder,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Baum,NN,baum,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,noch,KON,noch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Busch,NE,busch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Mehr,PIS,mehr,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sieht,VVFIN,sehen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,springt,VVFIN,springen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,es,PPER,es,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,zurück,ADV,zurück,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,im,APPRART,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Husch,NE,husch,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Von,APPR,von,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ferne,NN,ferne,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,kommt,VVFIN,kommen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Trupp,NN,trupp,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,daher,PROAV,daher,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Auf,APPR,auf,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,breiter,ADJA,breit,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Schulter,NN,schulter,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,das,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Gewehr,NN,gewehr,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Waldeinwärts,NN,waldeinwärts,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,schreitet,VVFIN,schreiten,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Mann,NN,mann,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,nach,APPR,nach,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Mann,NN,mann,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Sie,PPER,sie,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,sehn,VVFIN,sehn,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,die,ART,der,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Kirche,NN,kirche,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,gar,ADV,gar,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,nicht,PTKNEG,nicht,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,an,PTKVZ,an,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,.,$.,--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,lustger,ADJA,lustg,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Knabe,NN,knabe,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ganz,ADV,ganz,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,zuvorn,NE,zuvorn,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Stößt,VVFIN,stößt,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,jezuweilen,ADV,jezuweilen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,in,APPR,in,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,ein,ART,ein,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Horn,NN,horn,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,",","$,",--,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,Dann,ADV,dann,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,jauchzen,VVFIN,jauchzen,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,all,PIDAT,all,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,mit,APPR,mit,27072,,
qd,pm99.0,3436,7141,DER DICHTER,der_dichter,lautem,ADJA,laut,27072,,
