corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k93g.0,544,661,VERWALTER,verwalter,Sie,PPER,sie,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,wissen,VVFIN,wissen,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,also,ADV,also,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,nicht,PTKNEG,nicht,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,Jungfer,NE,jungfer,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,Lisette,NE,lisette,15632,LISETTE,lisette
qd,k93g.0,544,661,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,in,APPR,in,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,welcher,ADJA,welcher,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,Absicht,NN,absicht,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,mich,PPER,mich,15632,VERWALTER,verwalter
qd,k93g.0,544,661,VERWALTER,verwalter,die,ART,der,15632,DIE BARONINN,baroninn
qd,k93g.0,544,661,VERWALTER,verwalter,Baroninn,NN,baroninn,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,schon,ADV,schon,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,wieder,ADV,wieder,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,rufen,VVINF,rufen,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,läßt,VVFIN,lassen,15632,,
qd,k93g.0,544,661,VERWALTER,verwalter,?,$.,--,15632,,
qd,k93g.0,666,889,LISETTE,lisette,Das,PDS,der,15632,,
qd,k93g.0,666,889,LISETTE,lisette,sagte,VVFIN,sagen,15632,,
qd,k93g.0,666,889,LISETTE,lisette,sie,PPER,sie,15632,,
qd,k93g.0,666,889,LISETTE,lisette,mir,PPER,sich,15632,LISETTE,lisette
qd,k93g.0,666,889,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
qd,k93g.0,666,889,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,666,889,LISETTE,lisette,und,KON,und,15632,,
qd,k93g.0,666,889,LISETTE,lisette,es,PPER,es,15632,,
qd,k93g.0,666,889,LISETTE,lisette,wäre,VAFIN,sein,15632,,
qd,k93g.0,666,889,LISETTE,lisette,Kunst,NN,kunst,15632,,
qd,k93g.0,666,889,LISETTE,lisette,es,PPER,es,15632,,
qd,k93g.0,666,889,LISETTE,lisette,zu,PTKZU,zu,15632,,
qd,k93g.0,666,889,LISETTE,lisette,errathen,VVINF,errathen,15632,,
qd,k93g.0,666,889,LISETTE,lisette,.,$.,--,15632,,
qd,k93g.0,666,889,LISETTE,lisette,Sie,PPER,sie,15632,,
qd,k93g.0,666,889,LISETTE,lisette,hat,VAFIN,haben,15632,,
qd,k93g.0,666,889,LISETTE,lisette,heut,ADV,heut,15632,,
qd,k93g.0,666,889,LISETTE,lisette,so,ADV,so,15632,,
qd,k93g.0,666,889,LISETTE,lisette,vielerley,ADJD,vielerley,15632,,
qd,k93g.0,666,889,LISETTE,lisette,Dinge,NN,ding,15632,,
qd,k93g.0,666,889,LISETTE,lisette,im,APPRART,in,15632,,
qd,k93g.0,666,889,LISETTE,lisette,Kopfe,NN,kopfe,15632,,
qd,k93g.0,666,889,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,666,889,LISETTE,lisette,daß,KOUS,daß,15632,,
qd,k93g.0,666,889,LISETTE,lisette,sie,PPER,sie,15632,,
qd,k93g.0,666,889,LISETTE,lisette,selbst,ADV,selbst,15632,,
qd,k93g.0,666,889,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
qd,k93g.0,666,889,LISETTE,lisette,weiß,VVFIN,weiß,15632,,
qd,k93g.0,666,889,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,666,889,LISETTE,lisette,was,PWS,was,15632,,
qd,k93g.0,666,889,LISETTE,lisette,sie,PPER,sie,15632,,
qd,k93g.0,666,889,LISETTE,lisette,will,VMFIN,wollen,15632,,
qd,k93g.0,666,889,LISETTE,lisette,und,KON,und,15632,,
qd,k93g.0,666,889,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
qd,k93g.0,666,889,LISETTE,lisette,will,VMFIN,wollen,15632,,
qd,k93g.0,666,889,LISETTE,lisette,.,$.,--,15632,,
qd,k93g.0,666,889,LISETTE,lisette,Wenn,KOUS,wenn,15632,,
qd,k93g.0,666,889,LISETTE,lisette,wir,PPER,wir,15632,,
qd,k93g.0,666,889,LISETTE,lisette,doch,ADV,doch,15632,,
qd,k93g.0,666,889,LISETTE,lisette,diese,PDAT,dieser,15632,,
qd,k93g.0,666,889,LISETTE,lisette,Festivität,NN,festivität,15632,,
qd,k93g.0,666,889,LISETTE,lisette,schon,ADV,schon,15632,,
qd,k93g.0,666,889,LISETTE,lisette,überstanden,VVPP,überstehen,15632,,
qd,k93g.0,666,889,LISETTE,lisette,hätten,VAFIN,haben,15632,,
qd,k93g.0,666,889,LISETTE,lisette,"!",$.,--,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,Ja,PTKANT,ja,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,wohl,ADV,wohl,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,–,NN,–,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,und,KON,und,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,Ich,PPER,ich,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,von,APPR,von,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,meinem,PPOSAT,mein,15632,VERWALTER,verwalter
qd,k93g.0,894,1081,VERWALTER,verwalter,Interims-Haushofmeister-Amte,NN,interims-haushofmeister-amte,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,wieder,ADV,wieder,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,los,PTKVZ,los,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,wäre,VAFIN,sein,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,"!",$.,--,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,Das,PDS,der,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,ist,VAFIN,sein,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,nun,ADV,nun,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,diesen,PDAT,dieser,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,Morgen,NN,morgen,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,das,ART,der,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,zwölftemal,ADV,zwölftemal,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,daß,KOUS,daß,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,ich,PPER,ich,15632,VERWALTER,verwalter
qd,k93g.0,894,1081,VERWALTER,verwalter,gerufen,VVPP,rufen,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,werde,VAFIN,werden,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,;,$.,--,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,achtmal,ADV,achtmal,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,bloß,ADV,bloß,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,des,ART,der,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,Stalles,NN,stall,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,wegen,APPO,wegen,15632,,
qd,k93g.0,894,1081,VERWALTER,verwalter,.,$.,--,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,Wundert,CARD,wundert,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,Sie,PPER,sie,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,das,PDS,der,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,Herr,NN,herr,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,Verwalter,NN,verwalter,15632,VERWALTER,verwalter
qd,k93g.0,1086,1169,LISETTE,lisette,?,$.,--,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,Sie,PPER,sie,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,kennen,VVFIN,kennen,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,doch,ADV,doch,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,den,ART,der,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,Grafen,NN,grafe,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,von,APPR,von,15632,,
qd,k93g.0,1086,1169,LISETTE,lisette,Reitbahn,NN,reitbahn,15632,REITBAHN,reitbahn
qd,k93g.0,1086,1169,LISETTE,lisette,?,$.,--,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,Nein,PTKANT,nein,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,"!",$.,--,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,ich,PPER,ich,15632,VERWALTER,verwalter
qd,k93g.0,1174,1279,VERWALTER,verwalter,hatte,VAFIN,haben,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,eben,ADV,eben,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,den,ART,der,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,Tag,NN,tag,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,da,KOUS,da,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,er,PPER,er,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,hier,ADV,hier,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,war,VAFIN,sein,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,in,APPR,in,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,den,ART,der,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,herrschaftlichen,ADJA,herrschaftlich,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,Weingärten,NN,weingarten,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,zu,PTKZU,zu,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,thun,VVINF,thun,15632,,
qd,k93g.0,1174,1279,VERWALTER,verwalter,.,$.,--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,So,ADV,so,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,muß,VMFIN,müssen,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,ich,PPER,ich,15632,LISETTE,lisette
qd,k93g.0,1284,1679,LISETTE,lisette,Ihnen,PPER,ihnen,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,also,ADV,also,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,sagen,VVINF,sagen,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,daß,KOUS,daß,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,dieser,PDAT,dieser,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Herr,NN,herr,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Bräutigam,NE,bräutigam,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,von,APPR,von,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,unserm,APPRART,unser,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Fräulein,NN,fräulein,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,der,ART,der,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,größte,ADJA,groß,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,der,ART,der,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,berühmteste,ADJA,berühmt,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Pferdenarr,NN,pferdenarr,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,im,APPRART,in,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,ganzen,ADJA,ganz,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Lande,NN,land,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,ist,VAFIN,sein,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,–,PPER,–,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,ein,ART,ein,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Mensch,NN,mensch,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,der,ART,der,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,nichts,PIS,nichts,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,anders,ADV,anders,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,thut,ADJD,thut,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,und,KON,und,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,denkt,VVFIN,denken,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,als,KOKOM,als,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,reiten,VVINF,reiten,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,fahren,VVFIN,fahren,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,und,KON,und,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,halsbrechen,VVFIN,halsbrechen,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,.,$.,--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Darum,PROAV,darum,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,ist,VAFIN,sein,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,unsre,ADJA,unsr,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Frau,NN,frau,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,in,APPR,in,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Sorgen,NN,sorge,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,es,PPER,es,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,möchte,VMFIN,möchten,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,wohl,ADV,wohl,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,gar,ADV,gar,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,die,ART,der,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,ganze,ADJA,ganz,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Heyrath,NN,heyrath,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,in,APPR,in,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Trümmer,NN,trümmer,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,gehen,VVINF,gehen,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,wenn,KOUS,wenn,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,dem,ART,der,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Grafen,NN,grafen,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,bey,NE,bey,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,seiner,PPOSAT,sein,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Ankunft,NN,ankunft,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,",","$,",--,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,von,APPR,von,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,ungefähr,ADJD,ungefähr,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,unsre,ADJA,unsr,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,Stallordnung,NN,stallordnung,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,mißfiele,VVFIN,mißfielen,15632,,
qd,k93g.0,1284,1679,LISETTE,lisette,.,$.,--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Ha,NN,ha,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,nun,ADV,nun,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,begreif,VVFIN,begreif,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,',$[,--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,ich,PPER,ich,15632,VERWALTER,verwalter
qd,k93g.0,1684,1986,VERWALTER,verwalter,"!",$.,--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Denken,NN,denken,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Sie,PPER,sie,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,nur,ADV,nur,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Lisette,NN,lisette,15632,LISETTE,lisette
qd,k93g.0,1684,1986,VERWALTER,verwalter,"!",$.,--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,nebst,ADV,nebst,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,den,ART,der,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,hochfreyherrlichen,ADJA,hochfreyherrlich,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Pferden,NN,pferd,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,mußt,VMFIN,mussen,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,',$[,--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,ich,PPER,ich,15632,VERWALTER,verwalter
qd,k93g.0,1684,1986,VERWALTER,verwalter,alle,PIDAT,aller,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,unsre,ADJA,unsr,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Mayerpferde,NN,mayerpferd,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,meine,PPOSAT,mein,15632,VERWALTER,verwalter
qd,k93g.0,1684,1986,VERWALTER,verwalter,zween,ADJA,zween,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Braunen,NN,braune,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,und,KON,und,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,des,ART,der,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Pfarrers,NN,pfarrer,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Rappen,NN,rappe,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,in,APPR,in,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,den,ART,der,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,herrschaftlichen,ADJA,herrschaftlich,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Stall,NN,stall,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,einstellen,VVINF,einstellen,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,.,$.,--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Zum,APPRART,zu,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Glück,NN,glück,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,ist,VAFIN,sein,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,nicht,PTKNEG,nicht,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,mehr,ADV,mehr,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Platz,NN,platz,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,sonst,ADV,sonst,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,kämen,VVFIN,kommen,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,wohl,ADV,wohl,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,des,ART,der,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Schulzens,NN,schulzen,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,Hengste,NN,hengst,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,auch,ADV,auch,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,dazu,PROAV,dazu,15632,,
qd,k93g.0,1684,1986,VERWALTER,verwalter,.,$.,--,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,O,NE,O,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,warum,PWAV,warum,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,auch,ADV,auch,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,des,ART,der,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,Majors,NE,major,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,von,APPR,von,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,Rheinberg,NE,rheinberg,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,vier,CARD,vier,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,Schäcken,NN,schäck,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,?,$.,--,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,Die,ART,der,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,wären,VAFIN,sein,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,doch,ADV,doch,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,gewiß,ADV,gewiß,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,die,ART,der,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,schönsten,ADJA,schön,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,von,APPR,von,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,allen,PIDAT,aller,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,.,$.,--,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,Das,ART,der,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,nenn,ADV,nenn,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,',$[,--,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,ich,PPER,ich,15632,LISETTE,lisette
qd,k93g.0,1991,2130,LISETTE,lisette,Eitelkeit,NN,eitelkeit,15632,,
qd,k93g.0,1991,2130,LISETTE,lisette,"!",$.,--,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,Wenn,KOUS,wenn,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,Sie,PPER,sie,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,erst,ADV,erst,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,wüßten,VVFIN,wissen,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,wie,PWAV,wie,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,heute,ADV,heute,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,der,ART,der,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,Stall,NN,stall,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,aussieht,VVFIN,aussehen,15632,,
qd,k93g.0,2135,2202,VERWALTER,verwalter,"!",$.,--,15632,,
qd,k93g.0,2207,2220,LISETTE,lisette,Nu,NE,nu,15632,,
qd,k93g.0,2207,2220,LISETTE,lisette,?,$.,--,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Seit,APPR,seit,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Anbruch,NN,anbruch,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,des,ART,der,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Tages,NN,tag,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,sind,VAFIN,sein,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,zwölf,CARD,zwölf,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Frohnleute,NN,frohnleute,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,mit,APPR,mit,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Putzen,NN,putzen,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Fegen,NN,fegen,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,und,KON,und,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Polieren,NN,polieren,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,beschäftiget,VVPP,beschäftiget,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,.,$.,--,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Der,ART,der,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Fußboden,NN,fußboden,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,wurde,VAFIN,werden,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,mit,APPR,mit,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,weißem,ADJA,weiß,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Sand,NN,sand,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,ausgerieben,VVIZU,ausgerieben,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,",","$,",--,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,und,KON,und,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,dick,ADJD,dick,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,mit,APPR,mit,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,Sägespähnen,NN,sägespähn,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,bestreut,VVPP,bestreuen,15632,,
qd,k93g.0,2225,2413,VERWALTER,verwalter,.,$.,--,15632,,
qd,k93g.0,2418,2473,LISETTE,lisette,Nur,ADV,nur,15632,,
qd,k93g.0,2418,2473,LISETTE,lisette,?,$.,--,15632,,
qd,k93g.0,2418,2473,LISETTE,lisette,und,KON,und,15632,,
qd,k93g.0,2418,2473,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
qd,k93g.0,2418,2473,LISETTE,lisette,mit,APPR,mit,15632,,
qd,k93g.0,2418,2473,LISETTE,lisette,Rosenblättern,NN,rosenblätter,15632,,
